ImprovementType,ForecastMethodology,count,mean,std,min,25%,50%,75%,max
1,1,59.0,20.69229133088135,19.278434547260545,0.666666667,7.6254826255,15.67695962,26.646042655,93.37979094
1,2,4.0,11.023276784,6.725902420528749,1.015228426,10.1303503165,13.991769545,14.8846960125,15.09433962
1,4,108.0,20.363267189620363,20.67739623432926,0.0,7.17697907175,14.208074535,27.45098039,145.6140351
1,5,140.0,19.45050286951428,21.404808904862943,0.704225352,7.2083354475000005,13.431819725,21.846153842499998,124.77744809999999
1,6,919.0,14.598307422539714,15.316852131193384,0.0,3.575659705,11.57894737,20.984341755,146.46464650000001
2,1,1.0,4.854368932,,4.854368932,4.854368932,4.854368932,4.854368932,4.854368932
2,2,1.0,0.346620451,,0.346620451,0.346620451,0.346620451,0.346620451,0.346620451
2,4,7.0,15.494147320428569,18.971056276427646,1.6393442619999998,2.4851485149999997,3.571428571,25.368488884999998,47.54098361
2,5,5.0,14.4931230652,20.957547509697406,0.645374449,1.075268817,5.78358209,14.28571429,50.67567568
2,6,206.0,17.269689469733006,14.813953908987896,0.0,6.59537691625,14.717978825,24.2027327625,94.64903361
3,5,10.0,34.4559909235,19.436885150076844,4.929577465,20.470477705,35.371991655,42.6323094125,65.64308682
3,6,65.0,18.18922455246153,15.818905368044309,0.0,5.673303361,16.43819635,23.65591398,65.73281626
4,1,20.0,15.992267834749999,17.37392154909067,0.7067137809999999,5.339559112750001,8.896926959,21.2696163525,64.47368421
4,2,1.0,13.57142857,,13.57142857,13.57142857,13.57142857,13.57142857,13.57142857
4,4,24.0,20.865879247666665,14.126880247224065,3.591780822,12.27376742,16.193388669999997,23.29234973,63.75545852
4,5,18.0,20.244194300055554,16.332361203412542,1.515151515,9.4085917185,15.11263222,26.162390345,62.99559471
5,1,2.0,3.1914893615,1.5044825135389877,2.127659574,2.6595744677499997,3.1914893615,3.72340425525,4.255319149
6,4,2.0,9.441173785,8.798496889762767,3.21969697,6.3304353775,9.441173785,12.5519121925,15.6626506
7,6,4.0,10.876554373000001,11.554573176202627,0.521221147,2.978663173,8.3191387225,16.2170299225,26.346718900000003
11,5,1.0,192.29406550000002,,192.29406550000002,192.29406550000002,192.29406550000002,192.29406550000002,192.29406550000002
11,6,164.0,15.393008327847566,15.104463295271842,0.008982574,4.971155748499999,10.971332145,22.48352036,83.45105954
12,1,2281.0,37.49410287660627,35.978896654005815,0.0,11.06965174,27.63157895,52.11267606,196.29629630000002
12,2,1.0,16.99604743,,16.99604743,16.99604743,16.99604743,16.99604743,16.99604743
12,4,216.0,16.77166069356018,15.689880017333099,0.0,6.81629417075,13.544451875,22.2587719275,146.66666669999998
12,5,41.0,21.57897234019512,19.99471680524428,2.578796562,7.90335707,16.34241245,27.39726027,87.42072409
12,6,228.0,17.643101334578944,17.902457477256323,0.071172021,5.53345076225,12.689437425,24.118028602499997,169.899323
