TrafficForecast,count,mean,std,min,25%,50%,75%,max,LowerLimit,UpperLimit
0,1520,50.75877274,146.64756,0,8.139534884,18.81832241,40.06401138,2142.424242,44.57121948,56.94632599
9999,,,,,,,,,44.57121948,56.94632599
10000,1265,34.7485695,59.03474878,0,8.152671756,19.23076923,40.1459854,1096.781076,32.01815639,37.4789826
19999,,,,,,,,,32.01815639,37.4789826
20000,890,34.35184151,40.25273522,0,9.622347363,20.88181055,44.76815637,258.3535109,32.13228454,36.57139847
29999,,,,,,,,,32.13228454,36.57139847
30000,516,29.28647895,26.75128187,0,8.695652174,21.91780822,42.79949421,132.3943662,27.34922904,31.22372886
39999,,,,,,,,,27.34922904,31.22372886
40000,362,25.63849666,22.46092285,0.002352443,7.87758705,19.67902158,37.14555053,96.3190184,23.69654143,27.58045189
49999,,,,,,,,,23.69654143,27.58045189
50000,231,22.72974122,17.99736075,0,6.132540359,19.40910255,37.56097561,64.77272727,20.78183191,24.67765054
59999,,,,,,,,,20.78183191,24.67765054
60000,98,17.49318298,23.46105612,0.004371585,2.195187533,9.854151085,24.63023088,137.388724,13.59465709,21.39170887
69999,,,,,,,,,13.59465709,21.39170887
70000,54,9.547676967,9.087774611,0.001599718,2.602663795,5.544633303,17.43534483,39.3557423,7.513322767,11.58203117
79999,,,,,,,,,7.513322767,11.58203117
80000,46,13.97027582,9.650182139,0.00129234,5.622095778,12.9457549,22.47757723,30.71371291,11.62970117,16.31085047
89999,,,,,,,,,11.62970117,16.31085047
90000,27,15.4142271,10.38300107,1.00769986,5.984859423,14.87434484,22.54444586,35.42081325,12.12717249,18.70128171
99999,,,,,,,,,12.12717249,18.70128171
100000,109,12.78935157,13.07299915,0.004011071,4.338497118,9.769109564,17.02329857,66.27647715,10.72953814,14.84916501
180000,,,,,,,,,10.72953814,14.84916501
